species,image_url
"Somali Bunting
",https://inaturalist-open-data.s3.amazonaws.com/photos/782471/small.jpg
"Striolated Bunting
",https://inaturalist-open-data.s3.amazonaws.com/photos/15984/small.jpg
"Cinnamon-breasted Bunting
",https://inaturalist-open-data.s3.amazonaws.com/photos/148281/small.jpg
"Black-headed Batis
",https://inaturalist-open-data.s3.amazonaws.com/photos/164285/small.jpg
"Short-tailed Batis
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Chinspot Batis
",https://inaturalist-open-data.s3.amazonaws.com/photos/25895/small.jpg
"Gray-headed Batis
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Pygmy Batis
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Pale Batis
",https://inaturalist-open-data.s3.amazonaws.com/photos/850675/small.jpg
"Chestnut Wattle-eye
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Yellow-bellied Wattle-eye
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Brown-throated Wattle-eye
",https://inaturalist-open-data.s3.amazonaws.com/photos/654454/small.jpg
"Jameson's Wattle-eye
",https://inaturalist-open-data.s3.amazonaws.com/photos/90550/small.jpg
"Black-throated Wattle-eye
",https://inaturalist-open-data.s3.amazonaws.com/photos/90552/small.jpg
"Gray Cuckoo-shrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/90526/small.jpg
"White-breasted Cuckoo-shrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/978351/small.jpg
"Black Cuckoo-shrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/978349/small.jpg
"Petit's Cuckoo-shrike
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Red-shouldered Cuckoo-shrike
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Purple-throated Cuckoo-shrike
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Fork-tailed Drongo
",https://inaturalist-open-data.s3.amazonaws.com/photos/245337/small.jpg
"Square-tailed Drongo
",https://inaturalist-open-data.s3.amazonaws.com/photos/727576/small.jpg
"Gray-green Bushshrike
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Doherty's Bushshrike
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Black-fronted Bushshrike
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Orange-breasted Bush-Shrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/25471/small.jpg
"Tropical Boubou
",https://inaturalist-open-data.s3.amazonaws.com/photos/24094/small.jpg
"Black-headed Gonolek
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Fuelleborn's Boubou
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Slate-colored Boubou
",https://inaturalist-open-data.s3.amazonaws.com/photos/24100/small.jpg
"Luehder's Bushshrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/90570/small.jpg
"Papyrus Gonolek
",https://inaturalist-open-data.s3.amazonaws.com/photos/24103/small.jpg
"Red-naped Bushshrike
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Gray-headed Bushshrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/649499/small.jpg
"Pink-footed Puffback
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Black-backed Puffback
",https://inaturalist-open-data.s3.amazonaws.com/photos/649512/small.jpg
"Northern Puffback
",https://inaturalist-open-data.s3.amazonaws.com/photos/90569/small.jpg
"Pringle's Puffback
",https://inaturalist-open-data.s3.amazonaws.com/photos/649508/small.jpg
"Brown-crowned Tchagra
",https://inaturalist-open-data.s3.amazonaws.com/photos/90566/small.jpg
"Three-streaked Tchagra
",https://inaturalist-open-data.s3.amazonaws.com/photos/90567/small.jpg
"Brubru
",https://inaturalist-open-data.s3.amazonaws.com/photos/649510/small.jpg
"Rosy-patched Bushshrike
",https://inaturalist-open-data.s3.amazonaws.com/photos/649519/small.jpg
"African Paradise-Flycatcher
",https://inaturalist-open-data.s3.amazonaws.com/photos/107683/small.jpg
"African Crested-Flycatcher
",https://inaturalist-open-data.s3.amazonaws.com/photos/323159/small.JPG
"African Golden Oriole
",https://inaturalist-open-data.s3.amazonaws.com/photos/92212/small.jpg
"Western Black-headed Oriole
",https://inaturalist-open-data.s3.amazonaws.com/photos/88533/small.JPG
"Green-headed Oriole
",https://inaturalist-open-data.s3.amazonaws.com/photos/92219/small.jpg
"Black-headed Oriole
",https://inaturalist-open-data.s3.amazonaws.com/photos/25790/small.jpg
"Eurasian Golden Oriole
",https://inaturalist-open-data.s3.amazonaws.com/photos/3598/small.jpg
"Black-tailed Oriole
",https://inaturalist-open-data.s3.amazonaws.com/photos/92220/small.jpg
"Black-and-white Shrike-flycatcher
",https://inaturalist-open-data.s3.amazonaws.com/photos/716545/small.jpg
"Rufous-naped Lark
",https://inaturalist-open-data.s3.amazonaws.com/photos/735864/small.jpg
"White-tailed Lark
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Singing Bushlark
",https://inaturalist-open-data.s3.amazonaws.com/photos/176747/small.jpg
"Collared Lark
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Gillett's Lark
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Red-winged Lark
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Friedmann's Lark
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Flappet Lark
",https://inaturalist-open-data.s3.amazonaws.com/photos/258469/small.jpg
"Williams's Lark
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Crested Lark
",https://inaturalist-open-data.s3.amazonaws.com/photos/4945/small.jpg
"Malabar Lark
",https://inaturalist-open-data.s3.amazonaws.com/photos/74644/small.jpg
"Thekla Lark
",https://inaturalist-open-data.s3.amazonaws.com/photos/74643/small.jpg
"Fischer's Sparrow-Lark
",https://inaturalist-open-data.s3.amazonaws.com/photos/735845/small.jpg
"Chestnut-backed Sparrow-Lark
",https://inaturalist-open-data.s3.amazonaws.com/photos/258476/small.jpg
"Red-capped Lark
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Somali Short-toed Lark
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Masked Lark
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Short-tailed Lark
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Spike-heeled Lark
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Spotted Creeper
",https://inaturalist-open-data.s3.amazonaws.com/photos/708025/small.jpg
"Aberdare Cisticola
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Rock-loving Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/667759/small.jpg
"Tabora Cisticola
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Desert Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/258453/small.jpg
"Wing-snapping Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/841218/small.jpg
"Boran Cisticola
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
"Siffling Cisticola
",https://inaturalist-open-data.s3.amazonaws.com/photos/667769/small.jpg
"Pectoral-patch Cisticola
",https://www.inaturalist.org/assets/iconic_taxa/aves-75px.png
